Date,ADX_22Lcap,ADX_66Lcap,ADX_132Lcap,RSI_14Lcap,RSI_22Lcap,RSI_66Lcap,RSI_132Lcap,SMA_14Lcap,SMA_22Lcap,SMA_66Lcap,SMA_132Lcap,Rets_RollingWeeklyLcap,Rets_RollingMonthlyLcap,Rets_RollingQtlyLcap,Vol_30Lcap,ADX_22Mcap,ADX_66Mcap,ADX_132Mcap,RSI_14Mcap,RSI_22Mcap,RSI_66Mcap,RSI_132Mcap,SMA_14Mcap,SMA_22Mcap,SMA_66Mcap,SMA_132Mcap,Rets_RollingWeeklyMcap,Rets_RollingMonthlyMcap,Rets_RollingQtlyMcap,Vol_30Mcap
2020-08-13,26.661823715592842,11.372334839425857,9.00760009452156,64.55881440288866,63.319924140097015,54.8297235406916,51.86740325253781,-0.8179032708234704,-1.2643262878339623,-6.352254232223287,-7.335083463387215,0.008955219455933028,0.06534154255884261,0.228770618906738,0.009295404087664084,21.991137239301487,11.388435690476536,11.837920522063746,78.8294642254556,72.99842657324551,57.25176190424084,52.30743290320186,-3.412569312240947,-4.280205197469499,-9.06008351035245,-9.173849069586064,0.038959102894760456,0.0978220151728284,0.2939012499874787,0.008093709432545127
2020-08-14,26.351671712154054,11.274398041436102,8.952737240175537,57.56885056432846,59.46524025865326,53.992206318973246,51.46107240683233,0.02928212937542397,-0.2513152853388022,-5.054261948586756,-6.196421407527137,-0.003178995517533645,0.05275848872766642,0.19127628917586104,0.009578793445397102,22.976107613889198,11.357634804385066,11.758002268735819,72.44208515645255,69.37101938242135,56.498741591731374,51.97309597847982,-2.2745993958158874,-3.1566277073924645,-7.814146728558695,-8.212207582777108,0.017381501204075445,0.09572663003761339,0.25407608695652173,0.008356271337678956
2020-08-17,26.0556175270534,11.177945134324979,8.898290013513956,60.182191827272945,60.8699196701771,54.39038625524362,51.67578988392155,-0.4482451413454037,-0.5599545279051003,-5.448014774386869,-6.857641956003451,-0.002045294911873996,0.047220834812050416,0.2301659357824506,0.009303031593919231,23.91630660781383,11.327300598385891,11.678689456720981,73.61637030867472,70.16326122457623,56.793063180454105,52.13035082697011,-2.2420503359792936,-3.1388848079422798,-7.776413314437117,-8.447218502064215,0.008750790594344249,0.09456717178016127,0.2640341192997755,0.00793314304042667
2020-08-18,26.05587872049654,11.110788586167807,8.836633541450476,64.87112073929632,63.534040892892605,55.18295170510667,52.105405144559136,-1.2969371592146997,-1.350549518486358,-6.2443284518753,-7.937977008583321,0.005550859737248892,0.04436458583501124,0.2460913877462636,0.009505189747525077,24.951560576097805,11.317043619761494,11.594602412951794,76.65255204187346,72.29103463094646,57.61816413697122,52.573772702782364,-2.7858665850573225,-3.7480507761104858,-8.392770191900603,-9.351832576948217,0.024811344312900774,0.09301424291145977,0.28232657907754444,0.008133885392092415
2020-08-19,26.171147504874636,11.05662438186107,8.772145206117404,65.59852945241123,63.9626096154727,55.31441281642283,52.176834445639166,-1.3987479553485231,-1.487315835312757,-6.577756973099432,-8.71234787834119,0.00884298367105063,0.03503839419254451,0.2929929890488199,0.009296030417634972,26.06247313504139,11.325272513979032,11.507432664718339,78.0330232506387,73.3024464769814,58.03082547154089,52.79718473890338,-2.9070595859123514,-4.06066798933297,-8.839062423645641,-10.183444894480171,0.03042324342280356,0.08936845862782894,0.3509008375898528,0.008059359519725943
2020-08-20,25.93083427973067,10.978722005581464,8.71394841223795,60.013350814252355,60.836592144771586,54.635290210634366,51.851638351975424,-0.5851445928510788,-0.7478294380196182,-5.634926899399902,-8.086373198592923,0.0010397815836464819,0.013433689024390238,0.27402559865062326,0.009367163063542527,26.82283673421418,11.313313373924379,11.42397889620787,79.72702790586243,74.5781306034092,58.568353776256835,53.08938881594466,-2.9250987131316992,-4.176553115723732,-8.74021295405164,-10.365924653723685,0.022702145851323463,0.09723189301348234,0.35512352023709726,0.008111301928994844
2020-08-21,25.82085713897446,10.913834606733483,8.652962455972332,62.155905770301025,62.03674955213986,54.981815269086056,52.037623015827435,-0.8014572764060997,-1.1483534009425431,-6.077529211819004,-8.946300291439007,0.017283261647349057,0.021468480713052296,0.25423671124552416,0.009326101036734615,27.720080260899326,11.325931130154672,11.340424872367175,80.69555029280755,75.32435064194102,58.89132085645984,53.265497945322835,-2.7635723080425065,-4.1566730275931505,-8.668040391818614,-10.597882839144734,0.03655863267361492,0.10107786742418101,0.3409610521662281,0.00787803310277228
2020-08-24,25.87517890830147,10.866190971834946,8.587990850180088,65.34875453121457,63.88802166408922,55.532555893203984,52.333878181332835,-1.3882852436149322,-1.8740570146047923,-6.875588987302912,-10.217705367358787,0.01950285794167428,0.022379841703091374,0.25918464739190106,0.009398418070595676,28.637222751032592,11.347321144156794,11.259983682316658,82.03557477222238,76.37754917302021,59.35771941272719,53.52041455937643,-2.829455240516636,-4.374978279309528,-8.904402210298942,-11.157797365119855,0.03925751229349128,0.0982461434760975,0.3399606426038382,0.007817850915448612
2020-08-25,25.9839706927953,10.825181857519032,8.52396668259106,65.5402025982678,64.0004770734722,55.5663060257305,52.35201185463853,-1.2663426385214558,-1.8828092119107813,-6.858604003967144,-10.65977958111205,0.007632650169428601,0.024843297585845026,0.2691594988522277,0.008605818985324972,29.59010628681401,11.379959202556318,11.183354516457229,82.66793372540452,76.88205661610034,59.58495204193292,53.64476156109315,-2.661847680364687,-4.346877212719292,-8.946737189435098,-11.556622567490798,0.0299878803453153,0.10503882245624308,0.3545613298959003,0.00730648849908449
2020-08-26,26.159561614723316,10.792234499161077,8.462457140142705,68.07364435020557,65.50146720562937,56.01834946776142,52.59436759179765,-1.7545146147542545,-2.4424596764470508,-7.421972118606264,-11.717622548251429,0.012376776227632336,0.03753209831455728,0.2791600289300584,0.008631798740543713,30.529765087544867,11.41661292113567,11.108552385027714,83.62565243818867,77.65348352225743,59.935879824709424,53.83676582584068,-2.685479828360601,-4.441302433092351,-9.22306367558526,-12.215195972712868,0.02897006733957297,0.12566396315576056,0.34387029046450057,0.007001270956991569
