,title
559,"Real Estate Loans: Commercial Real Estate Loans, All Commercial Banks"
560,"Real Estate Loans: Commercial Real Estate Loans, All Commercial Banks"
561,"Cash Assets, All Commercial Banks"
562,"Cash Assets, All Commercial Banks"
563,"Cash Assets, All Commercial Banks"
564,Global price of Metal index
565,"Industrial Production: Utilities: Electric and Gas Utilities (NAICS = 2211,2)"
566,"Industrial Production: Utilities: Electric and Gas Utilities (NAICS = 2211,2)"
567,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average
568,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average
569,Existing Home Sales: Months Supply
570,Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: OECD Indicator for the United States
571,"Unemployment Rate - Bachelor's Degree and Higher, 25 Yrs. & over"
572,"Unemployment Rate - Bachelor's Degree and Higher, 25 Yrs. & over"
573,Registered Unemployment Rate for Germany
574,Registered Unemployment Rate for Germany
575,Household Estimates
576,"Condo Price Index for New York, New York"
577,"Condo Price Index for New York, New York"
578,Real Personal Income
579,"Employment Level - Part-Time for Economic Reasons, All Industries"
580,"All Employees, Government"
581,"All Employees, Government"
582,Producer Price Index by Industry: Deep Sea Freight Transportation: Deep Sea Freight Transportation Services
583,U.S. Imports of Goods by Customs Basis from China
584,Unemployment Rate in the United Kingdom
585,Unemployment Level - Permanent Job Losers
586,Unemployment Level - Permanent Job Losers
587,S&P/Case-Shiller FL-Tampa Home Price Index
588,S&P/Case-Shiller FL-Tampa Home Price Index
589,M3 for the Euro Area
590,M3 for the Euro Area
591,M3 for the Euro Area
592,Producer Price Index by Industry: Aerospace Product and Parts Manufacturing
593,Producer Price Index by Industry: Aerospace Product and Parts Manufacturing
594,Consumer Price Index for All Urban Consumers: Food at Home in U.S. City Average
595,Consumer Price Index for All Urban Consumers: Food at Home in U.S. City Average
596,Global price of Cotton
597,Revolving Consumer Credit Owned and Securitized
598,Revolving Consumer Credit Owned and Securitized
599,Switzerland / U.S. Foreign Exchange Rate
600,Capacity Utilization: Manufacturing (NAICS)
601,"Finance Rate on Consumer Installment Loans at Commercial Banks, New Autos 60 Month Loan"
602,Global price of Beef
603,Unemployment Rate in Pennsylvania
604,Unemployment Rate in Pennsylvania
605,Consumer Price Index for All Urban Consumers: Food in U.S. City Average
606,Consumer Price Index for All Urban Consumers: Food in U.S. City Average
607,Total Construction Spending: Residential in the United States
608,Total Construction Spending: Residential in the United States
609,Total Construction Spending: Residential in the United States
610,Producer Price Index by Commodity: Rubber and Plastic Products: Unlaminated Polyethylene Film and Sheet
611,"Global price of Rice, Thailand"
612,Real personal income excluding current transfer receipts
613,20-Year High Quality Market (HQM) Corporate Bond Spot Rate
614,NBER based Recession Indicators for the United States from the Peak through the Trough
615,Kansas City Financial Stress Index
616,"Producer Price Index by Industry: Iron and Steel Pipe and Tube Manufacturing from Purchased Steel: Iron and Steel Pipes and Tubes, from Purchased Iron and Steel"
617,"Average Price: Chicken Breast, Boneless (Cost per Pound/453.6 Grams) in U.S. City Average"
618,Global price of Uranium
619,US Regular Conventional Gas Price
620,"Revenue Passenger Miles for U.S. Air Carrier Domestic and International, Scheduled Passenger Flights"
621,"Revenue Passenger Miles for U.S. Air Carrier Domestic and International, Scheduled Passenger Flights"
622,Producer Price Index by Commodity: Metals and Metal Products
623,Unemployment Rate in Michigan
624,Unemployment Rate in Michigan
625,Long-Term Government Bond Yields: 10-year: Main (Including Benchmark) for Australia
626,Consumer Price Index for All Urban Consumers: Shelter in U.S. City Average
627,Consumer Price Index for All Urban Consumers: Shelter in U.S. City Average
628,Thailand / U.S. Foreign Exchange Rate
629,Sticky Price Consumer Price Index
630,Sticky Price Consumer Price Index
631,Sticky Price Consumer Price Index
632,Sticky Price Consumer Price Index
633,Exports: Value Goods for China
634,Exports: Value Goods for China
635,Exports: Value Goods for China
636,Exports: Value Goods for China
637,Exports: Value Goods for China
638,"Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan"
639,Labor Force Participation Rate - 16-19 Yrs.
640,Labor Force Participation Rate - 16-19 Yrs.
641,"Producer Price Index by Commodity: Chemicals and Allied Products: Chlorine, Sodium Hydroxide, and Other Alkalies"
642,Unemployment Rate: Aged 15-64: All Persons for the United States
643,Unemployment Rate: Aged 15-64: All Persons for the United States
644,Existing Single-Family Home Sales
645,Existing Single-Family Home Sales
646,Producer Price Index by Industry: Urethane and Other Foam Product Manufacturing: Polyurethane Foam Formed and Slab Stock for Pillows/Seating/etc.
647,Total Borrowings from the Federal Reserve
648,Commercial Paper Outstanding
649,Commercial Paper Outstanding
650,"Average Weekly Earnings of All Employees, Total Private"
651,"Average Weekly Earnings of All Employees, Total Private"
652,Advance Retail Sales: Furniture and Home Furnishings Stores
653,Advance Retail Sales: Furniture and Home Furnishings Stores
654,Advance Retail Sales: Furniture and Home Furnishings Stores
655,Advance Retail Sales: Furniture and Home Furnishings Stores
656,Producer Price Index by Commodity: Transportation Services: Truck Transportation of Freight
657,Producer Price Index by Commodity: Transportation Services: Truck Transportation of Freight
658,M1 for China
659,M1 for China
660,M1 for China
661,M1 for China
662,S&P/Case-Shiller MN-Minneapolis Home Price Index
663,S&P/Case-Shiller MN-Minneapolis Home Price Index
664,"Average Price: Ground Beef, 100% Beef (Cost per Pound/453.6 Grams) in U.S. City Average"
665,"Producer Price Index by Industry: Asphalt Shingle and Coating Materials Manufacturing: Prepared Asphalt and Tar Roofing and Siding Products, Including Saturated Felts for Nonbuilding Use"
666,"Total Unemployed Plus Discouraged Workers, as a Percent of the Civilian Labor Force Plus Discouraged Workers (U-4)"
667,"Total Unemployed Plus Discouraged Workers, as a Percent of the Civilian Labor Force Plus Discouraged Workers (U-4)"
668,Total Reserves excluding Gold for China
669,Total Reserves excluding Gold for China
670,Unemployment Rate: Aged 15-64: All Persons for Japan
671,Unemployment Rate: Aged 15-64: All Persons for Japan
672,Global price of Dubai Crude
673,"Interest Rates, Government Securities, Treasury Bills for Brazil"
674,Consumer Price Index for All Urban Consumers: Gasoline (All Types) in U.S. City Average
675,Consumer Price Index for All Urban Consumers: Gasoline (All Types) in U.S. City Average
676,Moody's Seasoned Baa Corporate Bond Minus Federal Funds Rate
677,"Average Price: Bacon, Sliced (Cost per Pound/453.6 Grams) in U.S. City Average"
678,Real Personal Consumption Expenditures: Goods
679,Real Personal Consumption Expenditures: Goods
680,Rail Freight Carloads
681,Rail Freight Carloads
682,Real Personal Consumption Expenditures: Nondurable Goods
683,Consumer Price Index: Harmonized Prices: Total All Items for the Euro Area
684,Consumer Price Index: Harmonized Prices: Total All Items for the Euro Area
685,Consumer Price Index: Harmonized Prices: Total All Items for the Euro Area
686,Consumer Price Index: All Items for Brazil
687,3-Month or 90-day Rates and Yields: Eurodollar Deposits for the United States
688,Producer Price Index by Commodity: Farm Products: Almonds
689,Global price of Bananas
690,Unemployment Rate - Men
691,Unemployment Rate - Men
692,Manufacturers' New Orders: Consumer Durable Goods
693,Manufacturers' New Orders: Consumer Durable Goods
694,"All Employees, Truck Transportation"
695,"All Employees, Truck Transportation"
696,"Producer Price Index by Commodity: Lumber and Wood Products: Logs, Bolts, Timber, Pulpwood and Wood Chips"
697,"Producer Price Index by Commodity: Lumber and Wood Products: Logs, Bolts, Timber, Pulpwood and Wood Chips"
698,"Producer Price Index by Commodity: Lumber and Wood Products: Logs, Bolts, Timber, Pulpwood and Wood Chips"
699,"Producer Price Index by Commodity: Lumber and Wood Products: Logs, Bolts, Timber, Pulpwood and Wood Chips"
700,"Producer Price Index by Commodity: Lumber and Wood Products: Logs, Bolts, Timber, Pulpwood and Wood Chips"
701,Producer Price Index by Commodity: Metals and Metal Products: Iron and Steel Scrap
702,Retail Sales: Restaurants and Other Eating Places
703,Retail Sales: Restaurants and Other Eating Places
704,"Industrial Production: Mining, Quarrying, and Oil and Gas Extraction: Crude Oil (NAICS = 211111pt.)"
705,"Industrial Production: Mining, Quarrying, and Oil and Gas Extraction: Crude Oil (NAICS = 211111pt.)"
706,New Privately-Owned Housing Units Started: Units in Buildings with 5 Units or More
707,New Privately-Owned Housing Units Started: Units in Buildings with 5 Units or More
708,Ultra-Low-Sulfur No. 2 Diesel Fuel Prices: U.S. Gulf Coast
709,Labor Force Participation Rate - 55 Yrs. & over
710,Labor Force Participation Rate - 55 Yrs. & over
711,Light Weight Vehicle Sales
712,Unemployment Rate in South Carolina
713,Unemployment Rate in South Carolina
714,Producer Price Index by Commodity: Final Demand
715,Producer Price Index by Commodity: Final Demand
716,"Advance Retail Sales: Building Materials, Garden Equipment and Supplies Dealers"
717,"Advance Retail Sales: Building Materials, Garden Equipment and Supplies Dealers"
718,"Advance Retail Sales: Building Materials, Garden Equipment and Supplies Dealers"
719,"Advance Retail Sales: Building Materials, Garden Equipment and Supplies Dealers"
720,Market Value of Marketable Treasury Debt
721,"Unemployment Rate - High School Graduates, No College, 25 Yrs. & over"
722,"Unemployment Rate - High School Graduates, No College, 25 Yrs. & over"
723,Consumer Price Index for All Urban Consumers: Water and Sewer and Trash Collection Services in U.S. City Average
724,Consumer Price Index for All Urban Consumers: Water and Sewer and Trash Collection Services in U.S. City Average
725,Unemployment Rate in Massachusetts
726,Unemployment Rate in Massachusetts
727,"Interest Rates, Discount Rate for Republic of Korea"
728,Unemployment Rate - Asian
729,Unemployment Rate - Asian
730,"Unemployment Rate - Manufacturing Industry, Private Wage and Salary Workers"
731,"Consumer Price Index for All Urban Consumers: Meats, Poultry, Fish, and Eggs in U.S. City Average"
732,"Consumer Price Index for All Urban Consumers: Meats, Poultry, Fish, and Eggs in U.S. City Average"
733,Long-Term Government Bond Yields: 10-year: Main (Including Benchmark) for Italy
734,Unemployment Rate in Missouri
735,Unemployment Rate in Missouri
736,Consumer Price Index for All Urban Consumers: Food Away from Home in U.S. City Average
737,Consumer Price Index for All Urban Consumers: Food Away from Home in U.S. City Average
738,Manufacturers' New Orders: Computers and Electronic Products
739,Manufacturers' New Orders: Computers and Electronic Products
740,Producer Price Index by Commodity: Lumber and Wood Products: Oak and Maple Hardwood Flooring
741,Unemployment Rate in Illinois
742,Unemployment Rate in Illinois
743,"Producer Price Index by Commodity: Nonmetallic Mineral Products: Construction Sand, Gravel, and Crushed Stone"
744,"Producer Price Index by Commodity: Nonmetallic Mineral Products: Construction Sand, Gravel, and Crushed Stone"
745,Retailers Inventories
746,Retailers Inventories
747,Retailers Inventories
748,Retailers Inventories
749,Real Broad Dollar Index
750,Chicago Fed National Activity Index: Three Month Moving Average
751,M1 for Japan
752,M1 for Japan
753,M1 for Japan
754,M1 for Japan
755,M1 for Japan
756,Other Liquid Deposits: Total
757,Other Liquid Deposits: Total
758,"All Employees, Retail Trade"
759,"All Employees, Retail Trade"
760,Producer Price Index by Industry: Flat Glass Manufacturing
761,Total Population: All Ages including Armed Forces Overseas
762,Long-Term Government Bond Yields: 10-year: Main (Including Benchmark) for Greece
763,Unemployment Rate in Kentucky
764,Unemployment Rate in Kentucky
765,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Medium Density Fiberboard (MDF) Made from MDF Produced at the Same Location"
766,Global price of Rapeseed Oil
767,Air Revenue Passenger Miles
768,Air Revenue Passenger Miles
769,Monetary Base; Reserve Balances
770,U.S. Natural Gas Liquid Composite Price
771,Total Share Prices for All Shares for the United States
772,Total Share Prices for All Shares for the United States
773,Unemployment Rate in New Jersey
774,Unemployment Rate in New Jersey
775,"KC Fed Labor Market Conditions Index, Momentum Indicator"
776,Median Sales Price of Existing Single-Family Homes
777,Producer Price Index by Commodity: Machinery and Equipment: Construction Machinery and Equipment
778,Producer Price Index by Commodity: Machinery and Equipment: Construction Machinery and Equipment
779,Unemployment Rate in Colorado
780,Unemployment Rate in Colorado
781,Producer Price Index by Commodity: Lumber and Wood Products: Hardwood Lumber
782,"Yields on Short-Term United States Securities, Three-Six Month Treasury Notes and Certificates, Three Month Treasury Bills for United States"
783,"Yields on Short-Term United States Securities, Three-Six Month Treasury Notes and Certificates, Three Month Treasury Bills for United States"
784,"Producer Price Index by Commodity: Lumber and Wood Products: Wood Pallets and Pallet Containers, Wood and Metal Combination"
785,"Producer Price Index by Commodity: Lumber and Wood Products: Wood Pallets and Pallet Containers, Wood and Metal Combination"
786,"Producer Price Index by Commodity: Lumber and Wood Products: Wood Pallets and Pallet Containers, Wood and Metal Combination"
787,3-Month or 90-day Rates and Yields: Interbank Rates for the United States
788,Business Applications: Total for All NAICS in the United States
789,Business Applications: Total for All NAICS in the United States
790,South Africa / U.S. Foreign Exchange Rate
791,Unemployment Rate in Wisconsin
792,Unemployment Rate in Wisconsin
793,Producer Price Index by Commodity: Rubber and Plastic Products: Plastics Water Pipe
794,"Unemployment Rate in Seattle-Tacoma-Bellevue, WA (MSA)"
795,"Unemployment Rate in Seattle-Tacoma-Bellevue, WA (MSA)"
796,S&P/Case-Shiller NC-Charlotte Home Price Index
797,S&P/Case-Shiller NC-Charlotte Home Price Index
798,Producer Prices Index: Economic activities: Industrial activities: Total for China
799,Consumer Price Index: All Items for Korea
800,Producer Price Index by Commodity: Industrial Commodities
801,Producer Price Index by Commodity: Metals and Metal Products: Fabricated Steel Plate
802,Producer Price Index by Commodity: Metals and Metal Products: Fabricated Steel Plate
803,Producer Price Index by Commodity: Metals and Metal Products: Fabricated Steel Plate
804,Producer Price Index by Commodity: Metals and Metal Products: Copper Wire and Cable
805,Unemployment Rate in Georgia
806,Unemployment Rate in Georgia
807,Layoffs and Discharges: Total Nonfarm
808,Layoffs and Discharges: Total Nonfarm
809,Layoffs and Discharges: Total Nonfarm
810,Layoffs and Discharges: Total Nonfarm
811,Federal Minimum Hourly Wage for Farm Workers for the United States
812,Sahm Rule Recession Indicator
813,Consumer Price Index: All Items Excluding Food and Energy for the United States
814,Price Pressures Measure
815,New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Single-Family Units
816,New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Single-Family Units
817,Total Money Supply for United States
818,Total Money Supply for United States
819,Employment Rate: Aged 25-54: All Persons for the United States
820,Employment Rate: Aged 25-54: All Persons for the United States
821,US Diesel Sales Price
822,Job Openings: Total Private
823,Job Openings: Total Private
824,Job Openings: Total Private
825,Job Openings: Total Private
826,"Producer Price Index by Industry: Semiconductors and Related Device Manufacturing: Other Semiconductor Devices, Including Parts Such as Chips, Wafers, and Heat Sinks"
827,3-Month or 90-day Rates and Yields: Interbank Rates for Germany
828,Average Price: Electricity per Kilowatt-Hour in U.S. City Average
829,Deflation Probability
830,Job Openings: Manufacturing
831,Job Openings: Manufacturing
832,Job Openings: Manufacturing
833,Job Openings: Manufacturing
834,Personal Consumption Expenditures: Goods
835,Retailers Sales
836,Retailers Sales
837,Retailers Sales
838,Retailers Sales
839,"Market Yield on U.S. Treasury Securities at 7-Year Constant Maturity, Inflation-Indexed"
840,Producer Price Index by Commodity: Chemicals and Allied Products: Thermoplastic Resins and Plastics Materials
841,Producer Price Index by Commodity: Chemicals and Allied Products: Thermoplastic Resins and Plastics Materials
842,Producer Price Index by Commodity: Chemicals and Allied Products: Thermoplastic Resins and Plastics Materials
843,Producer Price Index by Commodity: Chemicals and Allied Products: Thermoplastic Resins and Plastics Materials
844,3-Month or 90-day Rates and Yields: Certificates of Deposit for the United States
845,Rail Freight Intermodal Traffic
846,Rail Freight Intermodal Traffic
847,"Housing Inventory: Active Listing Count in Phoenix-Mesa-Scottsdale, AZ (CBSA)"
848,Unemployment Rate in Alabama
849,Unemployment Rate in Alabama
850,Consumer Price Index of All Items in Italy
851,Taiwan / U.S. Foreign Exchange Rate
852,Leading Indicators OECD: Reference series: Gross Domestic Product (GDP): Normalised for China
853,"Unemployment Rate in San Francisco County/City, CA"
854,Unemployment Rate in North Carolina
855,Unemployment Rate in North Carolina
856,"Global price of Sugar, No. 11, World"
857,Industrial Production: Manufacturing: Durable Goods: Motor Vehicles and Parts (NAICS = 3361-3)
858,Industrial Production: Manufacturing: Durable Goods: Motor Vehicles and Parts (NAICS = 3361-3)
859,"Producer Price Index by Industry: Fabricated Structural Metal Manufacturing: Fabricated Structural Iron and Steel for Industrial Buildings Metal Bar Joists, Short Span"
860,3-Month Commercial Paper Minus Federal Funds Rate
861,Advance Retail Sales: Grocery Stores
862,Advance Retail Sales: Grocery Stores
863,Advance Retail Sales: Grocery Stores
864,Advance Retail Sales: Grocery Stores
865,Global price of Zinc
866,Long-Term Government Bond Yields: 10-year: Main (Including Benchmark) for New Zealand
867,Real Broad Effective Exchange Rate for China
868,Export Price Index (End Use): All Commodities
869,5-Year Treasury Constant Maturity Minus Federal Funds Rate
870,"All Employees, Oil and Gas Extraction"
871,"All Employees, Oil and Gas Extraction"
872,Unemployment Level - Women
873,Unemployment Level - Women
874,M2 for Republic of Korea
875,M2 for Republic of Korea
876,Unemployment Rate in Tennessee
877,Unemployment Rate in Tennessee
878,"Interest Rates, Discount Rate for Euro Area"
879,Industrial Production: Manufacturing (SIC)
880,Industrial Production: Manufacturing (SIC)
881,Consumer Price Index: All Items for Indonesia
882,Small-Denomination Time Deposits: Total
883,Small-Denomination Time Deposits: Total
884,"Consumer Loans: Other Consumer Loans: Automobile Loans, All Commercial Banks"
885,"Consumer Loans: Other Consumer Loans: Automobile Loans, All Commercial Banks"
886,Consumer Price Index of All Items in France
887,Average Sales Price for New Houses Sold in the United States
888,Merchant Wholesalers: Inventories to Sales Ratio
889,Merchant Wholesalers: Inventories to Sales Ratio
890,Purchase Only House Price Index for the United States
891,Purchase Only House Price Index for the United States
892,"Unemployment Rate - Construction Industry, Private Wage and Salary Workers"
893,Manufacturers' New Orders: Durable Goods Excluding Transportation
894,Manufacturers' New Orders: Durable Goods Excluding Transportation
895,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products"
896,Unemployment Rate in Minnesota
897,Unemployment Rate in Minnesota
898,Unemployment Level - Men
899,Unemployment Level - Men
900,Long-Term Government Bond Yields: 10-year: Main (Including Benchmark) for Ireland
901,New Private Housing Units Authorized by Building Permits for California
902,New Private Housing Units Authorized by Building Permits for California
903,Advance Retail Sales: Gasoline Stations
904,Advance Retail Sales: Gasoline Stations
905,Advance Retail Sales: Gasoline Stations
906,Advance Retail Sales: Gasoline Stations
907,Monetary Base M0 in the United Kingdom
908,Producer Price Index by Industry: Truck Transportation
909,Long-Term Government Bond Yields: 10-year: Main (Including Benchmark) for Sweden
910,Personal consumption expenditures excluding food and energy
911,M1 for Euro Area
912,M1 for Euro Area
913,Consumer Price Index for All Urban Consumers: Medical Care Services in U.S. City Average
914,Consumer Price Index for All Urban Consumers: Medical Care Services in U.S. City Average
915,Consumer Price Index: Total All Items for China
916,Consumer Price Index: Total All Items for China
917,"Producer Price Index by Industry: Paint and Coating Manufacturing: Special Purpose Coatings Including Marine, Industrial, Construction and Maintenance Coatings, etc."
918,All Employees: Total Nonfarm in California
919,All Employees: Total Nonfarm in California
920,All Employees: Total Nonfarm in California
921,Labor Force Participation Rate for California
922,Labor Force Participation Rate for California
923,Quits: Total Private
924,Quits: Total Private
925,Quits: Total Private
926,Quits: Total Private
927,Hong Kong / U.S. Foreign Exchange Rate
928,"Not in Labor Force - Want a Job Now, Marginally Attached (Searched for Work in Previous Year, Available to Work Now)"
929,Consumer Price Index: Total All Items for Japan
930,Consumer Price Index: Total All Items for Japan
931,Consumer Price Index: Total All Items for Japan
932,Unemployment Rate - Job Losers (U-2)
933,Unemployment Rate - Job Losers (U-2)
934,Producer Price Index by Commodity: Chemicals and Allied Products
935,Sri Lanka / U.S. Foreign Exchange Rate
936,Consumer Price Index: All Items for Mexico
937,Producer Price Index by Commodity: Processed Foods and Feeds: Wheat Flour
938,Producer Price Index by Commodity: Processed Foods and Feeds: Wheat Flour
939,"Unemployment Rate in Miami-Dade County, FL"
940,Kerosene-Type Jet Fuel Prices: U.S. Gulf Coast
941,Consumer Price Index for All Urban Consumers: Durables in U.S. City Average
942,Consumer Price Index for All Urban Consumers: Durables in U.S. City Average
943,Global price of Energy index
944,Labor Force Flows Employed to Unemployed
945,Labor Force Flows Employed to Unemployed
946,"Dividend Yield of Common Stocks on the New York Stock Exchange, Composite Index for United States"
947,Producer Price Index by Industry: Pharmaceutical Preparation Manufacturing
948,"Labor Force Participation Rate - With No Disability, 65 Years and over"
949,Existing Single-Family Home Sales: Housing Inventory
950,Consumer Price Index: All Items for Russian Federation
951,"Interest Rates, Government Securities, Government Bonds for United Kingdom"
952,Singapore / U.S. Foreign Exchange Rate
953,"Total Liabilities, All Commercial Banks"
954,"Total Liabilities, All Commercial Banks"
955,"Total Liabilities, All Commercial Banks"
956,Total Separations: Total Nonfarm
957,Total Separations: Total Nonfarm
958,Total Separations: Total Nonfarm
959,Total Separations: Total Nonfarm
960,"Unemployment Rate - College Graduates - Master's Degree, 25 years and over"
961,Future Capital Expenditures; Diffusion Index for Federal Reserve District 3: Philadelphia
962,Future Capital Expenditures; Diffusion Index for Federal Reserve District 3: Philadelphia
963,3-Month Treasury Bill Minus Federal Funds Rate
964,Personal current transfer receipts: Government social benefits to persons: Unemployment insurance
965,"Average Hourly Earnings of All Employees, Construction"
966,"Average Hourly Earnings of All Employees, Construction"
967,Advance Retail Sales: Electronics and Appliance Stores
968,Advance Retail Sales: Electronics and Appliance Stores
969,Advance Retail Sales: Electronics and Appliance Stores
970,Advance Retail Sales: Electronics and Appliance Stores
971,1-Year High Quality Market (HQM) Corporate Bond Spot Rate
972,Consumer Price Index: All Items for South Africa
973,7-year Breakeven Inflation Rate
974,Unemployment Rate in West Virginia
975,Unemployment Rate in West Virginia
976,Consumer Price Index: OECD Groups: All Items Non-Food and Non-Energy for the United States
977,Consumer Price Index: OECD Groups: All Items Non-Food and Non-Energy for the United States
978,M1 for the United Kingdom
979,M1 for the United Kingdom
980,M1 for the United Kingdom
981,Global price of Soybeans Oil
982,Median Weeks Unemployed
983,Median Weeks Unemployed
984,Consumer Price Index: All Items for Turkey
985,Unemployment Rate in Oregon
986,Unemployment Rate in Oregon
987,"Consumer Price Index for All Urban Consumers: All Items in New York-Newark-Jersey City, NY-NJ-PA (CBSA)"
988,"Producer Price Index by Commodity: Chemicals and Allied Products: Alkalies and Chlorine, Including Natural Sodium Carbonate and Sulfate"
989,Sweden / U.S. Foreign Exchange Rate
990,Producer Price Index by Industry: Computer and Electronic Product Manufacturing
991,Global price of Nickel
992,Total Federal Outlays
993,Retail Sales: New Car Dealers
994,Retail Sales: New Car Dealers
995,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Unbleached Kraft Packaging and Industrial Converting Paperboard"
996,Housing Inventory: Active Listing Count in Florida
997,"Interest Rates, Discount Rate for Turkey"
998,Industrial Production: Manufacturing: Non-Durable Goods: Ice Cream and Frozen Dessert (NAICS = 31152)
999,Industrial Production: Manufacturing: Non-Durable Goods: Ice Cream and Frozen Dessert (NAICS = 31152)
1000,3-Month or 90-day Rates and Yields: Treasury Securities for China
1001,"Trade Balance: Goods, Balance of Payments Basis"
1002,Manufacturers' Value of Shipments: Total Manufacturing
1003,Manufacturers' Value of Shipments: Total Manufacturing
1004,S&P/Case-Shiller MI-Detroit Home Price Index
1005,S&P/Case-Shiller MI-Detroit Home Price Index
1006,"Average Hourly Earnings of All Employees, Leisure and Hospitality"
1007,"Average Hourly Earnings of All Employees, Leisure and Hospitality"
1008,Producer Price Index by Commodity: Farm Products: Tomatoes
1009,"Advance Retail Sales: Retail Trade and Food Services, Excluding Motor Vehicle and Parts Dealers"
1010,"Advance Retail Sales: Retail Trade and Food Services, Excluding Motor Vehicle and Parts Dealers"
1011,"Advance Retail Sales: Retail Trade and Food Services, Excluding Motor Vehicle and Parts Dealers"
1012,"Advance Retail Sales: Retail Trade and Food Services, Excluding Motor Vehicle and Parts Dealers"
1013,Norway / U.S. Foreign Exchange Rate
1014,Unemployment Rate in Washington
1015,Unemployment Rate in Washington
1016,"Unemployment Rate - 16-19 Yrs., Black or African American"
1017,"Unemployment Rate - 16-19 Yrs., Black or African American"
1018,Moody's Seasoned Aaa Corporate Bond Minus Federal Funds Rate
1019,30-Year High Quality Market (HQM) Corporate Bond Par Yield
1020,New One Family Homes for Sale in the United States
1021,"Commercial Bank Interest Rate on Credit Card Plans, Accounts Assessed Interest"
1022,5-Year High Quality Market (HQM) Corporate Bond Par Yield
1023,S&P/Case-Shiller OH-Cleveland Home Price Index
1024,S&P/Case-Shiller OH-Cleveland Home Price Index
1025,Production of Total Industry in Germany
1026,Harmonized Unemployment Rate: Total: All Persons for France
1027,Harmonized Unemployment Rate: Total: All Persons for France
1028,Employment Rate: Aged 25-54: Males for the United States
1029,Employment Rate: Aged 25-54: Males for the United States
1030,Producer Price Index by Industry: Industrial Gas Manufacturing: Oxygen
1031,Consumer Price Index for All Urban Consumers: Electricity in U.S. City Average
1032,Consumer Price Index for All Urban Consumers: Electricity in U.S. City Average
1033,Producer Price Index by Industry: HVAC and Commercial Refrigeration Equipment
1034,Producer Price Index by Industry: HVAC and Commercial Refrigeration Equipment
1035,Liquid Assets to Total Assets (Liquid Asset Ratio) for South Africa
1036,Producer Price Index by Commodity: Metals and Metal Products: Steel Mill Products
1037,"Unemployment Rate - Less Than a High School Diploma, 25 Yrs. & over"
1038,"Unemployment Rate - Less Than a High School Diploma, 25 Yrs. & over"
1039,Global price of Industrial Materials index
1040,"Average Price: Butter, Stick (Cost per Pound/453.6 Grams) in U.S. City Average"
1041,Working Age Population: Aged 15-64: All Persons for Canada
1042,Working Age Population: Aged 15-64: All Persons for Canada
1043,No. 2 Heating Oil Prices: New York Harbor
1044,Import Price Index by Origin (NAICS): All Industries for China
1045,Unemployment Rate in Indiana
1046,Unemployment Rate in Indiana
1047,Producer Price Index by Commodity: Farm Products: Corn
1048,Producer Price Index by Commodity: Farm Products: Corn
1049,Producer Price Index by Commodity: Farm Products: Corn
1050,"Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: Nondurable Goods: Beer, Wine, and Distilled Alcoholic Beverages Sales"
1051,"Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: Nondurable Goods: Beer, Wine, and Distilled Alcoholic Beverages Sales"
1052,"Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: Nondurable Goods: Beer, Wine, and Distilled Alcoholic Beverages Sales"
1053,"Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: Nondurable Goods: Beer, Wine, and Distilled Alcoholic Beverages Sales"
1054,Advance Retail Sales: Nonstore Retailers
1055,Advance Retail Sales: Nonstore Retailers
1056,Advance Retail Sales: Nonstore Retailers
1057,Advance Retail Sales: Nonstore Retailers
1058,Retail Sales: Furniture and Home Furnishings Stores
1059,Retail Sales: Furniture and Home Furnishings Stores
1060,Retail Sales: Furniture and Home Furnishings Stores
1061,Retail Sales: Furniture and Home Furnishings Stores
1062,Unemployment Rate in Arizona
1063,Unemployment Rate in Arizona
1064,Advance Retail Sales: Motor Vehicle and Parts Dealers
1065,Advance Retail Sales: Motor Vehicle and Parts Dealers
1066,Advance Retail Sales: Motor Vehicle and Parts Dealers
1067,Advance Retail Sales: Motor Vehicle and Parts Dealers
1068,3-Month or 90-day Rates and Yields: Interbank Rates for Canada
1069,New Home Mortgage Applications for United States
1070,New Home Mortgage Applications for United States
1071,"Unemployment Rate in Detroit-Warren-Dearborn, MI (MSA)"
1072,"Unemployment Rate in Detroit-Warren-Dearborn, MI (MSA)"
1073,"Unemployment Rate in Detroit-Warren-Dearborn, MI (MSA)"
1074,"Unemployment Rate in Las Vegas-Henderson-Paradise, NV (MSA)"
1075,"Unemployment Rate in Las Vegas-Henderson-Paradise, NV (MSA)"
1076,Global price of Poultry
1077,Producer Price Index by Industry: Corrugated and Solid Fiber Box Manufacturing: Primary Products
1078,"Average Hourly Earnings of All Employees, Manufacturing"
1079,"Average Hourly Earnings of All Employees, Manufacturing"
